country,literacyRate,pop2021
Greenland,100,56.877
Andorra,100,77.355
North Korea,100,25887.041
Uzbekistan,100,33935.763
San Marino,99.9,34.017
Latvia,99.9,1866.942
Estonia,99.8,1325.185
Lithuania,99.8,2689.862
Belarus,99.8,9442.862
Tajikistan,99.8,9749.627
Azerbaijan,99.8,10223.342
Cuba,99.8,11317.505
Kazakhstan,99.8,18994.962
Poland,99.8,37797.005
Ukraine,99.8,43466.819
Slovenia,99.7,2078.724
Armenia,99.7,2968.127
Turkmenistan,99.7,6117.924
Russia,99.7,145912.025
Barbados,99.6,287.711
Kyrgyzstan,99.6,6628.356
Tonga,99.4,106.76
Georgia,99.4,3979.765
Moldova,99.4,4024.019
Croatia,99.3,4081.651
Samoa,99.1,200.149
Fiji,99.1,902.906
Cyprus,99.1,1215.584
Hungary,99.1,9634.164
Antigua and Barbuda,99,98.731
Trinidad and Tobago,99,1403.375
Czech Republic,99,10724.555
Argentina,99,45605.826
Cayman Islands,98.9,66.497
Montenegro,98.8,628.053
Romania,98.8,19127.774
Uruguay,98.7,3485.151
Grenada,98.6,113.021
Bosnia and Herzegovina,98.5,3263.466
Taiwan,98.5,23855.01
Mongolia,98.4,3329.289
Spain,98.4,46745.216
Marshall Islands,98.3,59.61
Serbia,98.3,8697.55
Jordan,98.2,10269.021
Philippines,98.2,111046.913
Albania,98.1,2872.933
Costa Rica,97.9,5139.052
Aruba,97.8,107.204
North Macedonia,97.8,2082.658
Israel,97.8,8789.774
Maldives,97.7,543.617
Greece,97.7,10370.744
Bahrain,97.5,1748.296
Singapore,97.3,5896.686
Brunei,97.2,441.532
Palestine,97.2,5222.748
Venezuela,97.1,28704.954
New Caledonia,96.9,288.218
China,96.8,1444216.107
Palau,96.6,18.169
Macau,96.5,658.394
Chile,96.4,19212.361
Turkey,96.2,85042.738
Kuwait,96.1,4328.55
Seychelles,95.9,98.908
Oman,95.7,5223.375
Indonesia,95.7,276361.783
Panama,95.4,4381.579
Mexico,95.4,130262.216
Equatorial Guinea,95.3,1449.896
Saudi Arabia,95.3,35340.683
Lebanon,95.1,6769.146
Colombia,95.1,51265.844
Vietnam,95,98168.833
Malta,94.5,442.784
Suriname,94.4,591.8
Peru,94.4,33359.418
Paraguay,94,7219.638
United Arab Emirates,93.8,9991.089
Dominican Republic,93.8,10953.703
Malaysia,93.7,32776.194
Qatar,93.5,2930.528
Brazil,93.2,213993.437
Thailand,92.9,69950.85
Sao Tome and Principe,92.8,223.368
Bolivia,92.5,11832.94
Puerto Rico,92.4,2828.255
Namibia,91.5,2587.344
Mauritius,91.3,1273.433
Libya,91,6958.532
Jamaica,88.7,2973.463
Guyana,88.5,790.326
Botswana,88.5,2397.241
El Salvador,88.5,6518.499
Eswatini,88.4,1172.362
Vanuatu,87.5,314.464
Honduras,87.2,10062.991
South Africa,87,60041.994
Cape Verde,86.8,561.898
Zimbabwe,86.5,15092.171
Syria,86.4,18275.702
Iran,85.5,85028.759
Gabon,84.7,2278.825
Laos,84.7,7379.358
Tunisia,81.8,11935.766
Guatemala,81.5,18249.86
Kenya,81.5,54985.698
Algeria,81.4,44616.624
Cambodia,80.5,16946.438
Lesotho,79.4,2159.079
Tanzania,77.9,61498.437
Cameroon,77.1,27224.265
Eritrea,76.6,3601.467
Ghana,76.6,31732.129
Uganda,76.5,47123.531
Myanmar,75.6,54806.012
Madagascar,74.8,28427.328
India,74.4,1393409.038
Bangladesh,73.9,166303.498
Morocco,73.8,37344.795
Rwanda,73.2,13276.513
Egypt,71.2,104258.327
Angola,71.1,33933.61
Yemen,70.1,30490.64
Burundi,68.4,12255.433
Nepal,67.9,29674.92
Bhutan,66.6,779.898
Papua New Guinea,64.2,9119.01
Togo,63.7,8478.25
Malawi,62.1,19647.684
Nigeria,62,211400.708
Haiti,61.7,11541.685
Mozambique,60.7,32163.047
Sudan,60.7,44909.353
Guinea-Bissau,59.9,2015.494
Pakistan,59.1,225199.937
Comoros,58.8,888.451
Mauritania,53.5,4775.119
Senegal,51.9,17196.301
Ethiopia,51.8,117876.227
Gambia,50.8,2486.945
Iraq,50.1,41179.35
Liberia,48.3,5180.203
Ivory Coast,47.2,27053.629
Sierra Leone,43.2,8141.343
Afghanistan,43,39835.428
Benin,42.4,12451.04
Burkina Faso,41.2,21497.096
Central African Republic,37.4,4919.981
Mali,35.5,20855.735
South Sudan,34.5,11381.378
Guinea,30.4,13497.244
Chad,22.3,16914.985
Niger,19.1,25130.817